video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"piqCeAEPRQY","Penampakan Terkini  Kilang Minyak Pertamina Terbakar di Indramayu","2021-03-29T07:57:53Z","UCKII0Ml9S5wneKbHswmUrIQ","CNN Indonesia","25","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"k6bg4cXxFaU","Pengemis Kerap Meludahi Pengendara Jika Tak Diberi Uang | REDAKSI SORE (27/03/21)","2021-03-29T13:00:28Z","UC96DbGaroMfqTkEjObGFl2g","REDAKSI TRANS7 OFFICIAL","25","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"mSx8MrRz5Bc","Polisi Dibentak, Pantas Warga Takut Lapor","2021-03-26T13:00:20Z","UC7Zgj5p9QOuz65oDU51Jlng","Rana Films","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"-fVx_EiIT8E","RAFFI NGAKU PERNAH NAKSIR SAMA CELINE EVANGELISTA! | RAFFI AND FRIENDS (27/3/21) P1","2021-03-29T09:52:21Z","UCIohHXwCEKxWCLvAguJ-GjA","TRANS TV Official","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"TF33__khR5Q","Polisi Tangkap 2 Orang Diduga terkait Bom di Gereja Katedral Makassar","2021-03-29T07:04:39Z","UCQA6NejSxQguRkD3L8eXHzA","iNews id","25","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"E_SZ3ObGyTA","BTS (방탄소년단) 'Film out' Official Teaser","2021-03-25T15:00:04Z","UC3IZKseVpdzPSBaWxBxundA","HYBE LABELS","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"tfzn8W4hxVU","SURPRISE YUSUKE BELIIN LAPTOP BARU! SAMPE KAGET DAN TERHARU","2021-03-27T13:49:01Z","UC1Gmqqs_Myzl2KHIeqfUC9A","Nihongo Mantappu","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"d0Gz4VX1KwI","Billy Syahputra diajarin Memes ???","2021-03-31T15:37:42Z","UCXfb0tTEMp2wq__vQi76dMw","Billy Syahputra","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"reUCcoKO9Qw","Lesti Pacaran Diem-Diem Sampe disidang Keluarga!!! | MURANGKALIH with Armand Maulana","2021-03-26T11:00:17Z","UCaS9W13Byv_DkEi8JA0dz8A","Armand Maulana","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"4X2QZkJAhKQ","Ungkapan Hati Aurel Kepada Orang Tua Dan Keluarga  - IKATAN CINTA ATTA & AUREL PENGAJIAN","2021-03-20T13:19:33Z","UCeM5Nksgv9_FXTuZ8jkPJPg","RCTI - ENTERTAINMENT","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"TONzP86JBuY","Bernyanyi Menari! Betrand & Anneth Gaada Duanya [SEMENJAK ADA DIRIMU] - Kilau Konser Betrand Jilid 3","2021-03-28T14:00:06Z","UC34xi8JB1AKSotPUKHywbaA","MNCTV Official","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"psBgkso1NQI","Kisah Untuk Geri - Official Trailer | Episode 7","2021-03-26T13:00:13Z","UC3e0KfJEE6s46nn6_N-DMaQ","MD Entertainment","1","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"hQBEOEM-bO0","LILI's FILM - '0327' Photobook Unboxing","2021-03-31T03:00:21Z","UC35HKvKYPkri4Grd5KXl3wQ","Lilifilm Official","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"l4JMjvGWt50","AKHIRNYA MEREKA BERSATU!","2021-03-25T06:00:05Z","UCfine-VxsozjW6FnssQkwLg","Ivan Gunawan","26","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"v7bnOxV4jAc","[MV] IU(아이유)_LILAC(라일락)","2021-03-25T09:00:31Z","UCweOkPb1wVVH0Q0Tlj4a5Pw","1theK (원더케이)","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
